record_id,month,year,City,country_id,Country,Latitude,Longitude,AverageTemperatureCelsius,AverageTemperatureUncertaintyCelsius
474381,6,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.059,2.7540000000000004
474382,7,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.326999999999998,1.4160000000000001
474383,8,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.585,0.8609999999999988
474384,9,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.431999999999999,0.909999999999999
474385,10,1853,Auckland,NEW,New Zealand,36.17S,175.03E,12.706999999999999,1.1020000000000016
474386,11,1853,Auckland,NEW,New Zealand,36.17S,175.03E,13.716000000000001,1.2510000000000017
474387,12,1853,Auckland,NEW,New Zealand,36.17S,175.03E,15.469999999999999,3.059
474388,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,18.106,2.3499999999999983
474389,2,1854,Auckland,NEW,New Zealand,36.17S,175.03E,18.54,2.0320000000000014
474390,3,1854,Auckland,NEW,New Zealand,36.17S,175.03E,18.316000000000003,1.8869999999999998
474391,4,1854,Auckland,NEW,New Zealand,36.17S,175.03E,15.515,1.7789999999999988
474392,5,1854,Auckland,NEW,New Zealand,36.17S,175.03E,14.168999999999999,1.3950000000000016
474393,6,1854,Auckland,NEW,New Zealand,36.17S,175.03E,12.510000000000002,1.5539999999999983
474394,7,1854,Auckland,NEW,New Zealand,36.17S,175.03E,11.773000000000001,1.6800000000000006
474395,8,1854,Auckland,NEW,New Zealand,36.17S,175.03E,11.558000000000002,1.3079999999999992
474396,9,1854,Auckland,NEW,New Zealand,36.17S,175.03E,11.883999999999999,0.9349999999999999
474397,10,1854,Auckland,NEW,New Zealand,36.17S,175.03E,12.641,3.006000000000001
474398,11,1854,Auckland,NEW,New Zealand,36.17S,175.03E,14.065000000000001,1.6680000000000008
474399,12,1854,Auckland,NEW,New Zealand,36.17S,175.03E,15.572000000000003,2.1799999999999997
474400,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,17.421,2.2619999999999982
474401,2,1855,Auckland,NEW,New Zealand,36.17S,175.03E,17.970000000000002,2.8500000000000014
474402,3,1855,Auckland,NEW,New Zealand,36.17S,175.03E,17.588,1.2809999999999988
474403,4,1855,Auckland,NEW,New Zealand,36.17S,175.03E,16.436,1.5329999999999997
474404,5,1855,Auckland,NEW,New Zealand,36.17S,175.03E,14.446000000000002,1.2219999999999982
474405,6,1855,Auckland,NEW,New Zealand,36.17S,175.03E,12.69,0.9759999999999991
474406,7,1855,Auckland,NEW,New Zealand,36.17S,175.03E,11.753,0.8360000000000017
474407,8,1855,Auckland,NEW,New Zealand,36.17S,175.03E,11.283,1.578999999999999
474408,9,1855,Auckland,NEW,New Zealand,36.17S,175.03E,11.450000000000001,1.1689999999999994
474409,10,1855,Auckland,NEW,New Zealand,36.17S,175.03E,14.114999999999998,1.239000000000002
474410,11,1855,Auckland,NEW,New Zealand,36.17S,175.03E,14.531,0.9790000000000001
474411,12,1855,Auckland,NEW,New Zealand,36.17S,175.03E,16.067,2.056999999999998
474412,1,1856,Auckland,NEW,New Zealand,36.17S,175.03E,16.579,3.2870000000000017
474413,2,1856,Auckland,NEW,New Zealand,36.17S,175.03E,16.685000000000002,3.2709999999999995
474414,3,1856,Auckland,NEW,New Zealand,36.17S,175.03E,16.737000000000002,2.1730000000000005
474415,4,1856,Auckland,NEW,New Zealand,36.17S,175.03E,15.445000000000002,2.386999999999999
474417,6,1856,Auckland,NEW,New Zealand,36.17S,175.03E,11.816,1.9919999999999998
474418,7,1856,Auckland,NEW,New Zealand,36.17S,175.03E,10.517,2.5919999999999987
474419,8,1856,Auckland,NEW,New Zealand,36.17S,175.03E,10.862,2.406000000000002
474420,9,1856,Auckland,NEW,New Zealand,36.17S,175.03E,11.583000000000002,1.5560000000000014
474421,10,1856,Auckland,NEW,New Zealand,36.17S,175.03E,12.171000000000001,3.260999999999999
474422,11,1856,Auckland,NEW,New Zealand,36.17S,175.03E,13.103,3.1539999999999995
474423,12,1856,Auckland,NEW,New Zealand,36.17S,175.03E,17.637,1.4560000000000015
474424,1,1857,Auckland,NEW,New Zealand,36.17S,175.03E,17.536,2.2030000000000016
474425,2,1857,Auckland,NEW,New Zealand,36.17S,175.03E,17.287,3.308
474426,3,1857,Auckland,NEW,New Zealand,36.17S,175.03E,16.747,2.3420000000000014
474427,4,1857,Auckland,NEW,New Zealand,36.17S,175.03E,14.756,2.08
